epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,302.634,0.28925,0.23473,0.88013,0.99932,0.99331,0.995,0.98291,0.30132,0.1792,0.91328,0.0011684,0.0011684,0.0011684
44,309.407,0.30737,0.24271,0.88298,0.9997,0.99331,0.995,0.98662,0.28089,0.19293,0.92645,0.0011486,0.0011486,0.0011486
45,316.276,0.28239,0.2307,0.88,0.99962,0.99331,0.995,0.98593,0.27181,0.16321,0.9195,0.0011288,0.0011288,0.0011288
46,323.114,0.27466,0.22398,0.87662,0.99948,0.99331,0.995,0.98705,0.26079,0.15986,0.9088,0.001109,0.001109,0.001109
47,329.943,0.28216,0.21961,0.88058,0.99937,0.99331,0.995,0.9849,0.26132,0.15547,0.92101,0.0010892,0.0010892,0.0010892
48,336.768,0.28685,0.22385,0.88514,1,0.9886,0.9949,0.98443,0.27826,0.16792,0.90276,0.0010694,0.0010694,0.0010694
49,343.615,0.2688,0.21973,0.87542,0.99965,0.99331,0.995,0.98673,0.26494,0.15573,0.92034,0.0010496,0.0010496,0.0010496
50,350.432,0.26608,0.20681,0.88446,0.99331,0.99295,0.99493,0.98903,0.26175,0.15446,0.92289,0.0010298,0.0010298,0.0010298
51,357.269,0.2635,0.20771,0.87567,1,0.98901,0.99493,0.98547,0.25821,0.1627,0.90974,0.00101,0.00101,0.00101
52,364.045,0.26428,0.21327,0.87174,0.98271,0.99331,0.9947,0.98527,0.27341,0.1706,0.94917,0.0009902,0.0009902,0.0009902
53,370.84,0.25543,0.20301,0.87221,0.99665,0.99624,0.995,0.98682,0.26282,0.15163,0.93485,0.0009704,0.0009704,0.0009704
54,377.661,0.26437,0.21228,0.88105,0.99946,0.99331,0.995,0.98453,0.26596,0.14985,0.92969,0.0009506,0.0009506,0.0009506
55,384.502,0.25502,0.20081,0.8665,1,0.98861,0.9949,0.98809,0.26063,0.16517,0.94499,0.0009308,0.0009308,0.0009308
56,391.312,0.25699,0.21109,0.87275,0.99908,0.99331,0.995,0.9893,0.26862,0.15539,0.94053,0.000911,0.000911,0.000911
57,398.153,0.25509,0.20183,0.87287,0.9985,0.99331,0.995,0.98759,0.2611,0.14702,0.93794,0.0008912,0.0008912,0.0008912
58,404.992,0.24514,0.19606,0.87041,0.99975,0.99331,0.995,0.99045,0.26747,0.1496,0.93345,0.0008714,0.0008714,0.0008714
59,411.853,0.25611,0.2032,0.87139,1,0.9894,0.99493,0.98757,0.28083,0.15331,0.92611,0.0008516,0.0008516,0.0008516
60,418.692,0.25651,0.21161,0.87453,0.99607,0.99331,0.99493,0.98338,0.26858,0.16084,0.9272,0.0008318,0.0008318,0.0008318
61,425.533,0.255,0.20937,0.87555,0.99317,0.99331,0.9947,0.9883,0.25738,0.15285,0.9259,0.000812,0.000812,0.000812
62,432.34,0.23969,0.19018,0.86603,0.99972,0.99666,0.995,0.98952,0.27039,0.15093,0.9305,0.0007922,0.0007922,0.0007922
63,439.223,0.24327,0.19785,0.8694,0.99666,0.99655,0.99497,0.98958,0.26195,0.14783,0.93673,0.0007724,0.0007724,0.0007724
64,446.033,0.23438,0.19319,0.86432,0.99908,1,0.995,0.98936,0.24778,0.14143,0.93881,0.0007526,0.0007526,0.0007526
65,452.885,0.23827,0.19051,0.87242,0.99951,0.99331,0.995,0.98631,0.24376,0.14307,0.92155,0.0007328,0.0007328,0.0007328
66,459.704,0.23787,0.19409,0.86595,1,0.99961,0.995,0.99019,0.25344,0.15062,0.92465,0.000713,0.000713,0.000713
67,466.502,0.24052,0.19538,0.86391,0.99667,0.99956,0.995,0.989,0.25876,0.15404,0.92571,0.0006932,0.0006932,0.0006932
68,473.306,0.23329,0.1833,0.86581,0.99268,0.99331,0.9948,0.98881,0.25587,0.14584,0.92975,0.0006734,0.0006734,0.0006734
69,480.132,0.22691,0.18186,0.86813,0.99254,0.99331,0.99493,0.98651,0.24494,0.1353,0.91729,0.0006536,0.0006536,0.0006536
70,486.982,0.2229,0.17578,0.85977,0.99967,0.99331,0.995,0.98921,0.24327,0.15074,0.91018,0.0006338,0.0006338,0.0006338
71,493.839,0.22518,0.18296,0.86596,1,0.99589,0.995,0.99089,0.24386,0.13639,0.92546,0.000614,0.000614,0.000614
72,500.693,0.21788,0.17819,0.86428,0.99666,0.99935,0.995,0.98958,0.23918,0.13395,0.92201,0.0005942,0.0005942,0.0005942
73,507.51,0.22365,0.17634,0.8697,0.99665,0.99525,0.99497,0.98952,0.24928,0.1344,0.92944,0.0005744,0.0005744,0.0005744
74,514.348,0.22223,0.17879,0.86287,1,0.99616,0.995,0.99039,0.24264,0.13424,0.92952,0.0005546,0.0005546,0.0005546
75,521.177,0.21658,0.17377,0.86253,0.99959,0.99331,0.995,0.98824,0.26224,0.14442,0.94456,0.0005348,0.0005348,0.0005348
76,527.999,0.21213,0.17844,0.85927,0.99955,1,0.995,0.98916,0.23758,0.14338,0.92722,0.000515,0.000515,0.000515
77,534.827,0.20955,0.17075,0.85082,0.99975,1,0.995,0.98972,0.228,0.12722,0.92358,0.0004952,0.0004952,0.0004952
78,541.647,0.19414,0.16053,0.85547,1,0.99965,0.995,0.99007,0.22549,0.1195,0.92652,0.0004754,0.0004754,0.0004754
79,548.506,0.20761,0.16711,0.85951,1,0.99621,0.995,0.9888,0.24536,0.12819,0.93484,0.0004556,0.0004556,0.0004556
80,555.309,0.21223,0.17249,0.855,0.99954,1,0.995,0.99071,0.25267,0.15925,0.93862,0.0004358,0.0004358,0.0004358
81,562.116,0.20774,0.17136,0.85999,0.99959,0.99331,0.995,0.99164,0.23567,0.13782,0.91674,0.000416,0.000416,0.000416
82,568.979,0.19883,0.16397,0.85522,0.99968,1,0.995,0.99074,0.22849,0.12212,0.91069,0.0003962,0.0003962,0.0003962
83,575.826,0.19359,0.16124,0.85827,0.99966,1,0.995,0.99098,0.22916,0.1222,0.91858,0.0003764,0.0003764,0.0003764
84,582.677,0.19648,0.16095,0.85983,1,0.99943,0.995,0.99236,0.23521,0.11643,0.92941,0.0003566,0.0003566,0.0003566
85,589.533,0.19074,0.16059,0.85187,1,0.99907,0.995,0.99146,0.22471,0.11538,0.93304,0.0003368,0.0003368,0.0003368
86,596.36,0.18846,0.15774,0.85086,0.99954,1,0.995,0.99152,0.23571,0.12083,0.93857,0.000317,0.000317,0.000317
87,603.236,0.18815,0.1578,0.85176,1,0.99636,0.995,0.99082,0.22938,0.12285,0.93368,0.0002972,0.0002972,0.0002972
88,610.059,0.18649,0.1588,0.85433,0.99936,1,0.995,0.99207,0.22708,0.12328,0.92756,0.0002774,0.0002774,0.0002774
89,616.991,0.18622,0.15484,0.84917,1,0.99581,0.995,0.99063,0.22845,0.12408,0.93004,0.0002576,0.0002576,0.0002576
90,623.944,0.17743,0.14487,0.84543,0.99984,1,0.995,0.99225,0.22245,0.11431,0.93253,0.0002378,0.0002378,0.0002378
91,631.924,0.13803,0.11818,0.78578,0.99945,1,0.995,0.98935,0.23129,0.12147,0.93925,0.000218,0.000218,0.000218
92,638.775,0.13967,0.11456,0.7895,0.99996,1,0.995,0.99045,0.23154,0.12641,0.92969,0.0001982,0.0001982,0.0001982
93,645.783,0.13848,0.11328,0.78356,1,0.99604,0.995,0.99057,0.22848,0.12576,0.92816,0.0001784,0.0001784,0.0001784
94,652.62,0.1381,0.10849,0.79243,0.99667,0.9999,0.995,0.99141,0.23182,0.12814,0.932,0.0001586,0.0001586,0.0001586
95,659.479,0.1297,0.10625,0.78152,0.99642,1,0.995,0.99338,0.22715,0.12782,0.93199,0.0001388,0.0001388,0.0001388
96,666.421,0.12895,0.10718,0.78474,1,0.99984,0.995,0.99188,0.23243,0.13213,0.93988,0.000119,0.000119,0.000119
97,673.335,0.12541,0.10319,0.7901,0.99863,1,0.995,0.99254,0.22239,0.12541,0.94321,9.92e-05,9.92e-05,9.92e-05
98,680.255,0.12232,0.10089,0.77279,0.99965,1,0.995,0.99211,0.22213,0.12098,0.93703,7.94e-05,7.94e-05,7.94e-05
99,687.108,0.11933,0.09971,0.78011,0.99966,1,0.995,0.99358,0.21867,0.12019,0.93443,5.96e-05,5.96e-05,5.96e-05
100,693.978,0.11402,0.09471,0.77536,0.99965,1,0.995,0.99296,0.21698,0.1187,0.93346,3.98e-05,3.98e-05,3.98e-05
